2,YW10-0218S,210,0,1160.000000,0.000000,58.000000,2001.000000
29,XXB-0218S,3135,1,841.500000,0.000000,352.500000,1339.000000
42,NHQL-0218S,4443,2,0.000000,0.000000,517.000000,2147.000000
42,NHQL-0215S,4430,3,0.000000,1512.000000,1179.500000,702.000000
10,YW10-0218S,1090,4,0.000000,0.000000,558.000000,1998.000000
25,HT9-0218S,2634,5,631.000000,1462.000000,568.000000,170.000000
25,HT9-0218S,2677,6,0.000000,1743.000000,769.000000,358.000000
35,XXB-0215S,3676,7,1091.500000,720.000000,92.500000,343.000000
25,HT9-0218S,2698,8,0.000000,0.000000,630.000000,2348.000000
29,NHQL-0218S,3090,9,558.000000,0.000000,558.000000,2348.000000
17,HT9-0218S,1731,10,0.000000,0.000000,368.000000,1568.000000
12,JH-0218S,1232,11,0.000000,0.000000,878.000000,478.000000
17,HT9-0218S,1736,12,1178.000000,0.000000,38.000000,925.000000
10,YW10-0218S,1053,13,252.000000,0.000000,58.000000,2161.000000
29,NHQL-0225S,3117,14,734.000000,0.000000,373.000000,461.000000
29,NHQL-0215S,3062,15,942.000000,0.000000,245.000000,439.000000
29,NHQL-0218S,3108,16,0.000000,1805.000000,942.000000,392.000000
24,GDMY-0215S,2493,17,437.500000,0.000000,400.000000,1320.500000
17,HT9-0218S,1751,18,901.000000,1534.000000,289.000000,508.000000
2,YW10-0218S,225,19,1022.000000,0.000000,98.000000,2078.000000
28,NHJB-0218S,2943,20,745.000000,380.000000,377.000000,1625.000000
42,QKQ-0215S,4478,21,0.000000,1384.500000,753.000000,172.500000
29,NHQL-0218S,3100,22,830.000000,1100.000000,344.000000,530.000000
25,HT9-0215S,2609,23,1018.000000,662.000000,198.000000,338.000000
35,XXB-0218S,3702,24,0.000000,0.000000,735.000000,558.000000
10,YW10-0218S,1086,25,0.000000,0.000000,299.000000,2398.000000
12,JH-0218S,1233,26,0.000000,930.000000,458.000000,418.000000
2,YW10-0218S,196,27,0.000000,0.000000,579.000000,2182.000000
25,HT9-0218S,2676,28,0.000000,1487.500000,709.000000,369.000000
2,YW10-0215S,183,29,914.000000,261.500000,261.500000,907.500000
35,NJBB-0218S,3663,30,556.000000,816.000000,258.000000,1517.500000
29,NJYH-0215S,3121,31,0.000000,859.500000,503.000000,172.500000
10,QKQ-0215S,1001,32,439.000000,0.000000,92.500000,363.000000
25,HT9-0218S,2673,33,744.000000,2006.000000,470.000000,264.000000
2,QKQ-0218SD,156,34,635.000000,870.000000,531.000000,387.500000
35,XXB-0218S,3731,35,801.000000,1172.500000,415.000000,507.000000
25,HT9-0218S,2669,36,475.000000,875.500000,370.000000,1198.000000
2,NJYH-0218S,124,37,508.000000,0.000000,395.000000,1964.000000
42,NHQL-0218S,4450,38,0.000000,1337.000000,550.000000,448.000000
2,YW8-0215S,230,39,1062.000000,0.000000,132.500000,713.000000
17,HT9-0215S,1722,40,1016.000000,1724.000000,158.000000,488.000000
25,HT9-0218S,2689,41,378.000000,0.000000,198.000000,2198.000000
17,XXB-0218S,1803,42,0.000000,1890.000000,754.000000,387.500000
17,HT9-0218S,1756,43,709.000000,0.000000,460.000000,377.000000
29,NJYH-0218S,3122,44,975.000000,0.000000,225.000000,593.000000
24,GDMY-0215S,2488,45,1056.000000,0.000000,158.000000,438.000000
2,YW10-0215S,179,46,711.000000,0.000000,480.000000,771.000000
28,NHJB-0218S,2950,47,915.000000,0.000000,148.000000,548.000000
